ion     wave            f       gamma   mass      E_ion
HI      1215.6701       0.41640 6.265E8 1.00794   1.00
MgII    2796.3542699    0.6155  2.68E8  24.3050   1.10
MgII    2803.5314853    0.3058  2.66e8  24.3050   1.10
MgI     2852.9642       1.8300  5.00e8  24.3050   0.56
SiII    1260.4221       1.180   2.95E9  28.0855	  1.20
SiII    1304.3702       0.0863  1.01E9  28.0855   1.20
SiII    1526.70698      0.13300 1.13E9  28.0855   1.20
SiIV    1393.76018      0.513   8.80e8  28.0855   3.32
SiIV    1402.77291      0.254   8.62e8  28.0855   3.32
CII     1334.5323       0.12780 2.88E8  12.011    1.79
CIV     1548.2049       0.1899  2.642E8 12.011	  4.74
CIV     1550.77845      0.09475 2.628E8 12.011 	  4.74
OI      1302.1685       0.0480  5.65e8  15.9994	  1.0009
FeII    2600.1724835    0.2394  2.70e8  55.847	  1.19
FeII    2586.6495659    0.06912 2.72E8  55.847	  1.19
FeII    2382.7641781    0.320   3.13E8  55.847	  1.19
FeII    2374.4603294    0.0313  3.09E8  55.847	  1.19
FeII    2367.5895925    2.16e-5 3.07e8  55.847	  1.19
FeII    2344.2129601    0.1142  2.680e8 55.847	  1.19
FeII    2260.7805       0.00244 2.58e8  55.847	  1.19
FeII    2234.4472       2.52e-5 2.75e8  55.847	  1.19
FeII    2249.8768       0.00182 3.31e8  55.847	  1.19
FeII    1608.45085      0.0577  2.74e8  55.847	  1.19
AlII    1670.7886       1.740   1.390e9 26.981539 1.38
AlIII   1862.79113      0.278   5.34e8  26.981539  2.09
AlIII   1854.71829      0.559   5.42e8  26.981539  2.09
